rank,syscall,count,percentage
1,futex,56804165,11.8751
2,write,55170850,11.5337
3,read,46120075,9.6416
4,mprotect,39746587,8.3092
5,open,39545825,8.2672
6,gettid,38893662,8.1309
7,fstat,23098849,4.8289
8,close,22466772,4.6968
9,mmap,20607172,4.3080
10,newfstatat,16240181,3.3951
11,brk,13732834,2.8709
12,lseek,11423374,2.3881
13,munmap,7111997,1.4868
14,sysinfo,7045483,1.4729
15,stat,6956319,1.4542
16,fcntl,6790801,1.4196
17,recvfrom,6459599,1.3504
18,access,6041217,1.2629
19,lstat,5384091,1.1256
20,poll,5001866,1.0457
21,setsockopt,3314212,0.6928
22,rt_sigprocmask,3039560,0.6354
23,rt_sigaction,2434368,0.5089
24,getpid,2380771,0.4977
25,sendto,2335026,0.4881
26,writev,2153826,0.4503
27,io_getevents,1963358,0.4104
28,clone,1929905,0.4035
29,sched_getaffinity,1778763,0.3719
30,sched_yield,1672403,0.3496
